d,title,intro,poster,pubdate,url,rating,press,star,comment,tags,star_time,author
3704608290,GOTH断掌事件,,https://img1.doubanio.com/view/subject/l/public/s34368008.jpg,2022-12,https://book.douban.com/subject/36035673/,7.4,南海出版公司,3.5,,,2023-02-26 13:44:42,
3562146619,秋园,没有活着的苦难，那就好好的生活,https://img1.doubanio.com/view/subject/l/public/s33640730.jpg,2020-6,https://book.douban.com/subject/34998019/,9.0,北京联合出版公司,4.5,没有活着的苦难，那就好好的生活,,2022-11-10 17:00:54,
3560801319,献给阿尔吉侬的花束,智慧与人性,https://img1.doubanio.com/view/subject/l/public/s28050760.jpg,2015-4,https://book.douban.com/subject/26362836/,9.1,广西师范大学出版社,4.5,智慧与人性,,2022-11-09 12:40:43,
3560800331,我本芬芳,唉,https://img3.doubanio.com/view/subject/l/public/s34072342.jpg,2022-2-1,https://book.douban.com/subject/35695541/,8.3,北京联合出版公司,4.0,唉,,2022-11-09 12:39:41,
3539554380,蜗居,口水文，不如双面胶,https://img1.doubanio.com/view/subject/l/public/s4081839.jpg,2007-12,https://book.douban.com/subject/2345727/,7.4,长江文艺出版社,3.5,口水文，不如双面胶,,2022-10-21 22:55:19,
3529432937,动物园,,https://img9.doubanio.com/view/subject/l/public/s33666435.jpg,2016-8-1,https://book.douban.com/subject/26723423/,8.1,人民文学出版社,4.0,,,2022-10-13 00:17:33,
3529431549,了不起的盖茨比,,https://img9.doubanio.com/view/subject/l/public/s9110246.jpg,2012-5,https://book.douban.com/subject/10738023/,8.7,南海出版公司,4.5,,,2022-10-13 00:16:25,
3529414198,桶川跟踪狂杀人事件,,https://img9.doubanio.com/view/subject/l/public/s34072986.jpg,2021-2,https://book.douban.com/subject/35094680/,9.0,四川人民出版社,4.5,,,2022-10-13 00:02:43,
3510882451,双面胶,双方还是应当以双方的意见为主，谁也不能偏袒谁，谁也不能迁就谁,https://img9.doubanio.com/view/subject/l/public/s1441925.jpg,2005-10,https://book.douban.com/subject/1428106/,7.6,上海人民出版社,4.0,双方还是应当以双方的意见为主，谁也不能偏袒谁，谁也不能迁就谁,,2022-09-26 22:19:25,
3498329754,平面国,,https://img1.doubanio.com/view/subject/l/public/s33710398.jpg,2020-8,https://book.douban.com/subject/35170896/,9.2,上海文化出版社,4.5,,,2022-09-15 09:16:02,
3489010255,蹉跎岁月,,https://img3.doubanio.com/view/subject/l/public/s4597057.jpg,2009-4,https://book.douban.com/subject/3779297/,7.3,作家出版社,3.5,,,2022-09-07 12:23:49,
3489009422,米,,https://img1.doubanio.com/view/subject/l/public/s4596979.jpg,2009-8,https://book.douban.com/subject/4088378/,7.9,作家出版社,4.0,,,2022-09-07 12:22:50,
3489009168,手机,,https://img3.doubanio.com/view/subject/l/public/s6081092.jpg,2009-7,https://book.douban.com/subject/4075784/,8.1,作家出版社,4.0,,,2022-09-07 12:22:31,
3489009056,羊的门,,https://img9.doubanio.com/view/subject/l/public/s6064525.jpg,2009-7,https://book.douban.com/subject/4006109/,7.9,作家出版社,4.0,,,2022-09-07 12:22:21,
3489008903,我叫刘跃进,,https://img9.doubanio.com/view/subject/l/public/s4464275.jpg,2009-6,https://book.douban.com/subject/4062572/,8.1,作家出版社,4.0,,,2022-09-07 12:22:10,
3489008816,白鹿原,,https://img9.doubanio.com/view/subject/l/public/s4209385.jpg,2009-4,https://book.douban.com/subject/3779302/,9.0,作家出版社,4.5,,,2022-09-07 12:22:03,
3489008713,尘埃落定,,https://img9.doubanio.com/view/subject/l/public/s4599345.jpg,2009-4,https://book.douban.com/subject/3796219/,8.7,作家出版社,4.5,,,2022-09-07 12:21:55,
3480594228,燃烧的蜂鸟,,https://img9.doubanio.com/view/subject/l/public/s34317765.jpg,2022-8,https://book.douban.com/subject/36029727/,7.3,北京联合出版公司,3.5,,,2022-08-31 09:09:50,
3397785868,只有你听到,,https://img1.doubanio.com/view/subject/l/public/s33800389.jpg,2021-1,https://book.douban.com/subject/35216488/,7.0,浙江人民出版社,3.5,,,2022-06-22 18:59:55,
3304390281,24个比利,,https://img2.doubanio.com/view/subject/l/public/s28094021.jpg,2015-6-30,https://book.douban.com/subject/26371317/,8.1,外语教学与研究出版社,4.0,,,2022-04-06 11:36:27,
3244790235,了不起的盖茨比,,https://img9.doubanio.com/view/subject/l/public/s34139814.jpg,2013-1,https://book.douban.com/subject/20507368/,7.6,天津人民出版社,4.0,,,2022-02-19 10:26:57,
2905434455,九州·缥缈录,,https://img9.doubanio.com/view/subject/l/public/s28332484.jpg,2015-10,https://book.douban.com/subject/26613061/,8.7,人民文学出版社,4.5,,,2021-06-07 07:51:50,
2904715196,活着,,https://img9.doubanio.com/view/subject/l/public/s29869926.jpg,2012-8,https://book.douban.com/subject/4913064/,9.4,作家出版社,4.5,,,2021-06-06 17:21:22,
2762707811,兄弟,,https://img1.doubanio.com/view/subject/l/public/s24936189.jpg,2012-9-1,https://book.douban.com/subject/20441957/,8.5,作家出版社,4.5,,,2021-02-23 20:03:57,
2626646853,丰乳肥臀,,https://img1.doubanio.com/view/subject/l/public/s33895248.jpg,2017-1,https://book.douban.com/subject/26904658/,8.8,浙江文艺出版社,4.5,,,2020-12-02 23:32:24,
2626643964,尘埃落定,,https://img3.doubanio.com/view/subject/l/public/s9140762.jpg,1998-3-1,https://book.douban.com/subject/1080309/,8.5,人民文学出版社,4.5,,,2020-12-02 23:30:47,
2626640751,挪威的森林,春天的熊,https://img1.doubanio.com/view/subject/l/public/s27312538.jpg,2007-7,https://book.douban.com/subject/2159042/,8.5,上海译文出版社,4.5,春天的熊,,2020-12-02 23:29:02,
2626639805,世界尽头与冷酷仙境,,https://img3.doubanio.com/view/subject/l/public/s1801057.jpg,2002-12,https://book.douban.com/subject/1291809/,8.6,上海译文出版社,4.5,,,2020-12-02 23:28:30,
2626633996,一句顶一万句,一句话是那么难,https://img1.doubanio.com/view/subject/l/public/s6916838.jpg,2009-3,https://book.douban.com/subject/3633461/,8.8,长江文艺出版社,4.5,一句话是那么难,,2020-12-02 23:25:19,
